Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
although Mr. Biden cannot appoint a nominee. A source familiar said Mr. Biden and Harris spoke multiple times earlier Sunday ahead of his announcement. There was an emergency meeting of senior Democratic National Committee members happening Sunday.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.7822514325297094,False
What shall Kamala do? Love and be silent! Be Clinton unmannerly when Biden is mad!,1,1_kamala_harris_her_she,"['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']",kamala - harris - her - she - win - to - the - biden - trump - and,1.0,False
They don't show Biden pushed out ...,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"You can't be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe's decision",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,True
Fuck trump. Fuck maga.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.7733611671238284,False
"at this bar in 2020 right after Biden won white man: I couldnt vote for Biden bc of Kamala Harris me: I couldnt vote for Trump bc hes a Nazi white man: I reserve the use of that word Fast forward to today, the absolution couldnt feel more poetic?",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"You fail to realize by not having to campaign, Biden will be more focused on cementing his legacy of accomplishments of his single term. 100 times more done for Americans than Trump could ever do.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
President Biden should have stepped down after the November election giving Kamala Harris the power,1,1_kamala_harris_her_she,"['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']",kamala - harris - her - she - win - to - the - biden - trump - and,0.6532239218689517,False
good advice run a positive campaign MAGA,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.7733611671238284,False
"For the last 3 years, who's been hid[d]en behind Joe Biden ?",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.8678306314726982,False
"Chocolate chip pancakes, bacon, hash browns, toast, and coffee.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.7804766958495843,False
".   There's a LOT of hate-filled invectives being circulated on X -- all directed at Biden. (""Genocide Joe"" is trending, b/c the algorithm has been manipulated to present/promote/flood our timelines w/ MAGA talking points, and Russian propaganda.)",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.9691298452951762,False
"I know a boat load of Gen Z liberals who didnt love Biden but who were definitely going to vote for him because they are politically aware and understand what a monster Trump is and what Project 2025 is about. But, theyre all smart, so, theres that . . .",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
What happened? I thought they told you that Biden was staying in?,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
How I feel now after the Donald Trump is back and elon musk full support Crypto doge Memes Bitcoin,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.9266113042692262,False
These are key swing states Biden dropping out is going to cause an absolute clusterf**k of unintended consequences. Im very surprised they let him quit,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"Theres no one who can save the DEMs except Mrs. Obama, but they talked so much shit about her husband that she aint fuccin with yall anymore Biden Presidential Election2024",1,1_kamala_harris_her_she,"['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']",kamala - harris - her - she - win - to - the - biden - trump - and,0.7653243334587454,False
Agree very disappointed in him working behind the scenes backstabbing Biden after all the support president Biden gave him when he ran for president. These greedy narcissistic tools are unbelievable!,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"Im not the least bit angry at Joe, but I am angry. Time to end MAGA.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.7733611671238284,False
"What kind of a chickenshit party throws away an incumbent with this kind of record? I'll vote blue no matter who, but Biden was our best chance.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
Maybe that works. Now the left has Kamala,1,1_kamala_harris_her_she,"['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']",kamala - harris - her - she - win - to - the - biden - trump - and,1.0,False
Black AND Asian. huh. don't forget failed Border Czar and first DEI Vice President. She supported everyone one of Biden's policies. No thanks,2,2_she_her_shes_vp,"['she', 'her', 'shes', 'vp', 'would', 'michelle', 'and', 'as', 'border', 'than']","['Lindsay Graham is probably the one who made the Grindr gay app crash. If Trump wins/steals the 2024 elections, I recommend that you leave the country as Trump MAGA vampires will hate you and so will the gay community. Will do what we can to stop you from riding the tiger and be', 'Most are going to look to her to choose a candidate from a swing state that is popular, or a Hispanic or white male to appease the majority demographic. I think differently, she should pick a candidate, like Obama did with Biden, who has a huge name and some may prefer they if', ""I have been watching all this growing demand for Bidens resignation. I was against it... but now I'm surprisingly hopeful and excited. I think real Dems will vote for her no matter what- just like they would have voted for Biden. Only now we might pick up younger""]",she - her - shes - vp - would - michelle - and - as - border - than,0.9459802708701359,False
Biden needs to go out in front of the public right now. Its a shame its after 5:00.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"METRO (ENGLAND): ""Biden Bows Out""  leads . IN FULL:  JOE BIDEN has announced he will not seek re-election to The White House. The current United States President withdrew from the race last night. Metro IBP apers Tomorrows Papers Today",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"18,000 people waiting to watch s press conference after Biden drops out of the race.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
Cod Champs is so much better knowing Biden is essentially gone. God bless America,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
Joe Biden has full immunity. Thank your Supreme Court. He should pardon Hunter first. Then go after you.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.8080507885967045,False
And it starts women and POC need to pay attention to the response of the GOP over the Harris pick. Their true colors will come shining through.,3,3_harris_biden_in_and,"['harris', 'biden', 'in', 'and', 'state', 'as', 'difference', 'critical', 'visiting', 'nc']","['Your guy is a criminal, rapist and his mind is completely shot. He cant even string a simple sentence together. We may have been shocked by Biden stepping down, but make no mistake, we will rally behind Harris . trump is going down. That POS will never set foot in the WH again', 'I think you just need to sit down and shut the hell up micropenis. Just because you all forced Biden out of seeking a second term, doesnt mean he has to resign. You do realize that when we selected Biden in our primary, we selected VP Harris too? Sit down and be quiet.', 'I really really hope so. You know team Trump is losing their shit right now. They spent their entire nazi rally messaging setting Biden up as their opposition Biden needs to go all out before he steps down. No reason not to go scorched earth and smooth the path for Harris.']",harris - biden - in - and - state - as - difference - critical - visiting - nc,1.0,False
Thats a tough sell considering Trump refused his salary during his administration. We know Biden cant say the same.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"If Joe Biden is not fit to run for President, then he is not fit to be President.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.9436905803545165,False
"It is. Of that I have no doubt. The forces pressuring Biden to step aside knew that would be part of the deal, even if some of them wished otherwise.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
She would probs let Biden chuck is muck over her for a 5er on only fans,2,2_she_her_shes_vp,"['she', 'her', 'shes', 'vp', 'would', 'michelle', 'and', 'as', 'border', 'than']","['Lindsay Graham is probably the one who made the Grindr gay app crash. If Trump wins/steals the 2024 elections, I recommend that you leave the country as Trump MAGA vampires will hate you and so will the gay community. Will do what we can to stop you from riding the tiger and be', 'Most are going to look to her to choose a candidate from a swing state that is popular, or a Hispanic or white male to appease the majority demographic. I think differently, she should pick a candidate, like Obama did with Biden, who has a huge name and some may prefer they if', ""I have been watching all this growing demand for Bidens resignation. I was against it... but now I'm surprisingly hopeful and excited. I think real Dems will vote for her no matter what- just like they would have voted for Biden. Only now we might pick up younger""]",she - her - shes - vp - would - michelle - and - as - border - than,1.0,False
"For 4 years you believed them when they said Biden was in perfect mental health, including Kamala who saw him most days. So your choice of representation has knowingly lied to you for 4 years.",1,1_kamala_harris_her_she,"['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']",kamala - harris - her - she - win - to - the - biden - trump - and,1.0,False
"President Biden is the most descent, honorable and capable President, that America has seen in the last 2 decades! Thank you Mr. President for your service and for your love of Country! You make me feel proud to be an American.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
